loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc
0.6417251229286194,0.24032843112945557,0.5297871232032776,0.5470752120018005,0.3900667726993561,0.6351003646850586
0.5222426056861877,0.4314826428890228,0.6612247824668884,0.5040032863616943,0.43763718008995056,0.6839317679405212
0.49041423201560974,0.473278284072876,0.6998783349990845,0.4879036545753479,0.4595426023006439,0.7122687101364136
0.4777277410030365,0.4883231222629547,0.7224263548851013,0.4788621664047241,0.4759463965892792,0.7284220457077026
0.4706638753414154,0.5024685263633728,0.7324462532997131,0.4748322069644928,0.4831976890563965,0.7367991209030151
0.4669927656650543,0.501629650592804,0.7408130764961243,0.4716959297657013,0.4901007115840912,0.7440134882926941
0.4618835151195526,0.5132246613502502,0.7521262168884277,0.47055500745773315,0.49132177233695984,0.7486014366149902
0.4589163362979889,0.5177810192108154,0.7555932998657227,0.46856826543807983,0.49484187364578247,0.7504835724830627
0.45652154088020325,0.5265094041824341,0.7613556981086731,0.46725720167160034,0.49539366364479065,0.7527164220809937
0.4555574655532837,0.5298806428909302,0.7616864442825317,0.4670374095439911,0.4952389597892761,0.7531153559684753
0.4533500075340271,0.5336105227470398,0.7646997570991516,0.4659999907016754,0.4969453513622284,0.7545457482337952
0.4526754319667816,0.5341569781303406,0.7672796845436096,0.46588215231895447,0.4977668523788452,0.7551209926605225
0.4507923424243927,0.5332955121994019,0.7729788422584534,0.46525272727012634,0.4982917904853821,0.7559356093406677
0.4506269097328186,0.5364766120910645,0.7725447416305542,0.46483877301216125,0.49830934405326843,0.7569948434829712
0.4483053982257843,0.5450193881988525,0.7743194103240967,0.46416571736335754,0.4999791383743286,0.7566205263137817
0.4487529695034027,0.546764075756073,0.7729905247688293,0.46444493532180786,0.49928489327430725,0.7571790218353271
0.44810202717781067,0.5464575290679932,0.773759126663208,0.46366116404533386,0.5007216930389404,0.758076012134552
0.44586464762687683,0.5483031272888184,0.7781980037689209,0.4631364345550537,0.5020127296447754,0.7602932453155518
0.445764422416687,0.5462535619735718,0.7772012948989868,0.4626193642616272,0.5027449727058411,0.7594002485275269
0.445842981338501,0.5477659702301025,0.7777502536773682,0.462819904088974,0.5017191171646118,0.7605792284011841
0.4431229531764984,0.5542432069778442,0.7822591066360474,0.46308353543281555,0.5021800398826599,0.7590345740318298
0.4430273473262787,0.5565049052238464,0.78141850233078,0.463067889213562,0.5036055445671082,0.7597203254699707
0.4430520534515381,0.5557268857955933,0.7811570763587952,0.46202710270881653,0.504607081413269,0.761928379535675
0.4416338801383972,0.5627520680427551,0.7807372808456421,0.46159717440605164,0.5056548118591309,0.7615012526512146
0.44053933024406433,0.5629509687423706,0.7829759120941162,0.46162155270576477,0.5057752132415771,0.7628405690193176
0.4410310387611389,0.5605827569961548,0.7835358381271362,0.46173280477523804,0.5061429738998413,0.7611225843429565
0.43975749611854553,0.5626641511917114,0.7853268384933472,0.4614446461200714,0.5058176517486572,0.762341320514679
0.43932443857192993,0.5652579069137573,0.7863713502883911,0.46117645502090454,0.5064061284065247,0.7619268894195557
0.4427420198917389,0.5597901940345764,0.7802406549453735,0.46098268032073975,0.5065175890922546,0.7621627449989319
0.4392416477203369,0.5637711882591248,0.7855104207992554,0.46128973364830017,0.506178081035614,0.7612120509147644
0.4400293231010437,0.5641583204269409,0.7837320566177368,0.4609511196613312,0.5069388747215271,0.7623242139816284
0.4398096799850464,0.5616755485534668,0.7855628728866577,0.4608478546142578,0.5073426365852356,0.762522280216217
0.4384959638118744,0.5682579874992371,0.7873505353927612,0.4612179100513458,0.507523775100708,0.7624319791793823
0.4372149705886841,0.5692960619926453,0.7886368036270142,0.4614018499851227,0.5067868828773499,0.7624070048332214
0.43824803829193115,0.5657923221588135,0.785950779914856,0.4603063464164734,0.508575439453125,0.7645680904388428
0.4363804757595062,0.5707544088363647,0.7876719236373901,0.45995447039604187,0.5085394978523254,0.7637021541595459
0.43672245740890503,0.5678222179412842,0.7883558869361877,0.4596477448940277,0.5092414021492004,0.7646205425262451
0.43561670184135437,0.5708048343658447,0.7909243702888489,0.46048763394355774,0.5082908272743225,0.7626607418060303
0.43553438782691956,0.5729377269744873,0.7897053360939026,0.4601655602455139,0.5084308981895447,0.7624825239181519
0.4367706775665283,0.5693839192390442,0.7871655821800232,0.45973095297813416,0.508615255355835,0.7642339468002319
0.43601396679878235,0.5721403360366821,0.7886360883712769,0.4597788155078888,0.5083732008934021,0.7645851969718933
0.43537598848342896,0.5736806988716125,0.7889084219932556,0.45973724126815796,0.5087019801139832,0.7643735408782959
0.43476662039756775,0.572562038898468,0.7917870283126831,0.45948129892349243,0.5102379322052002,0.7654408812522888
0.43434104323387146,0.5735679864883423,0.7914659380912781,0.45946577191352844,0.5087019205093384,0.7636551260948181
0.43432530760765076,0.5763140320777893,0.7914634346961975,0.4600014388561249,0.5093170404434204,0.7643428444862366
0.4342271089553833,0.5727081894874573,0.79128098487854,0.4596221148967743,0.5102923512458801,0.7646655440330505
0.4359942078590393,0.5706437826156616,0.7885515093803406,0.45950037240982056,0.509473443031311,0.7647705078125
0.4334501624107361,0.5733249187469482,0.7930716276168823,0.4588981568813324,0.5109286904335022,0.7655124068260193
0.43375828862190247,0.5748535394668579,0.7923883199691772,0.45937103033065796,0.5092493295669556,0.7647056579589844
0.4315917193889618,0.5800392031669617,0.7947289347648621,0.4596741497516632,0.5101733207702637,0.7650919556617737
0.4335687458515167,0.5769829750061035,0.7926424145698547,0.45942991971969604,0.5098087787628174,0.7654698491096497
0.4327414035797119,0.5753154158592224,0.7948012948036194,0.4590213894844055,0.5096164345741272,0.7648655772209167
0.4314374327659607,0.5802643299102783,0.7945776581764221,0.45963504910469055,0.5097524523735046,0.7644714117050171
0.4314231872558594,0.5832269191741943,0.7949838638305664,0.4597974419593811,0.5090073943138123,0.7647435069084167
0.43150827288627625,0.5790703892707825,0.7942982912063599,0.45840850472450256,0.5103869438171387,0.7662721872329712
0.43015074729919434,0.5833434462547302,0.7958060503005981,0.45888251066207886,0.5098901391029358,0.765198290348053
0.4317047894001007,0.5809793472290039,0.7942696213722229,0.45867010951042175,0.5090249180793762,0.765539824962616
0.4314967393875122,0.5792071223258972,0.7950230240821838,0.45846131443977356,0.5096647143363953,0.7659422755241394
